出発空港,到着空港,出発時刻,到着時刻,航空会社,便名,価格,通貨,国
KIX,ICN,2026-01-21 19:10,2026-01-21 21:05,TW,306,11230.00,JPY,韓国
KIX,ICN,2026-01-21 11:15,2026-01-21 13:20,TW,302,11230.00,JPY,韓国
KIX,ICN,2026-01-21 15:40,2026-01-21 17:55,TW,304,11230.00,JPY,韓国
KIX,PEK,2026-01-21 13:50,2026-01-21 16:10,CA,928,22130.00,JPY,中国
KIX,PEK,2026-01-21 09:00,2026-01-21 11:30,CA,162,22130.00,JPY,中国
KIX,PVG,2026-01-21 12:00,2026-01-21 14:00,MU,8620,23570.00,JPY,中国
KIX,TNA,2026-01-21 16:10,2026-01-21 18:20,SC,8086,18360.00,JPY,タイ
KIX,TAO,2026-01-21 22:20,2026-01-22 00:15,SC,4096,18360.00,JPY,タイ
KIX,PVG,2026-01-21 16:30,2026-01-21 18:10,CA,858,19360.00,JPY,タイ
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,23690.00,JPY,フィリピン
KIX,MNL,2026-01-21 10:15,2026-01-21 13:55,PR,407,25740.00,JPY,フィリピン
KIX,MNL,2026-01-21 15:05,2026-01-21 18:50,PR,411,25740.00,JPY,フィリピン
KIX,SGN,2026-01-21 09:30,2026-01-21 13:30,VJ,829,23660.00,JPY,ベトナム
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,23690.00,JPY,ベトナム
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,23690.00,JPY,ベトナム
KIX,ICN,2026-01-21 19:40,2026-01-21 21:40,7C,1306,24630.00,JPY,マカオ
KIX,ICN,2026-01-21 13:05,2026-01-21 15:15,7C,1316,24630.00,JPY,マカオ
KIX,GMP,2026-01-21 16:30,2026-01-21 18:30,7C,1328,26150.00,JPY,マカオ
KIX,TNA,2026-01-21 21:45,2026-01-21 23:55,SC,8088,18110.00,JPY,香港
KIX,TNA,2026-01-21 16:10,2026-01-21 18:20,SC,8086,18110.00,JPY,香港
KIX,TNA,2026-01-21 21:45,2026-01-21 23:55,SC,8088,18110.00,JPY,香港
KIX,TAE,2026-01-21 16:55,2026-01-21 18:30,TW,314,16940.00,JPY,台湾
KIX,CJU,2026-01-21 12:00,2026-01-21 14:00,TW,332,16940.00,JPY,台湾
KIX,TPE,2026-01-21 12:00,2026-01-21 14:15,VZ,567,20570.00,JPY,台湾
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,22290.00,JPY,マレーシア
KIX,FOC,2026-01-21 13:05,2026-01-21 15:40,MF,836,22290.00,JPY,マレーシア
KIX,KUL,2026-01-21 13:30,2026-01-21 19:40,OD,861,24960.00,JPY,マレーシア
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,22290.00,JPY,シンガポール
KIX,FOC,2026-01-21 13:05,2026-01-21 15:40,MF,836,22290.00,JPY,シンガポール
KIX,XMN,2026-01-21 18:55,2026-01-21 21:50,MF,840,22290.00,JPY,シンガポール
